DT_COMPTC,CAPTC_DIA,RESG_DIA
2005-11-04,29.174,47.157
2005-11-07,23.406,34.935
2005-11-08,20.21,27.68
2005-11-09,26.252,17.42
2005-11-10,17.121,29.449
2005-11-11,17.103,22.312
2005-11-14,26.718,21.606
2005-11-16,42.182,18.757
2005-11-17,15.751,20.807
2005-11-18,25.128,39.412
2005-11-21,21.803,89.625
2005-11-22,52.827,33.605
2005-11-23,14.83,18.33
2005-11-24,57.357,46.959
2005-11-25,30.273,58.59
2005-11-28,25.653,30.452
2005-11-29,22.045,53.988
2005-11-30,24.939,22.858
2005-12-01,37.835,29.484
2005-12-02,40.531,66.198
2005-12-05,45.897,93.61
2005-12-06,46.651,188.655
2005-12-07,25.661,30.285
2005-12-08,35.439,29.166
2005-12-09,24.097,39.217
2005-12-12,50.638,24.811
2005-12-13,25.982,34.772
2005-12-14,32.568,37.849
2005-12-15,27.597,37.638
2005-12-16,91.315,44.34
2005-12-19,28.758,28.812
2005-12-20,48.914,60.523
2005-12-21,57.559,38.096
2005-12-22,27.49,41.135
2005-12-23,42.52,116.585
2005-12-26,25.818,95.34
2005-12-27,29.049,78.617
2005-12-28,34.542,74.837
2005-12-29,73.758,56.716
2005-12-30,33.902,42.811
2006-01-02,31.116,22.988
2006-01-03,76.981,64.305
2006-01-04,56.697,54.48
2006-01-05,64.962,50.358
2006-01-06,68.058,38.177
2006-01-09,67.228,51.394
2006-01-10,90.973,42.015
2006-01-11,69.977,30.261
2006-01-12,70.355,64.994
2006-01-13,99.832,75.88
2006-01-16,85.747,48.776
2006-01-17,83.139,41.19
2006-01-18,94.351,54.235
2006-01-19,324.028,65.215
2006-01-20,65.511,97.471
2006-01-23,90.087,50.989
2006-01-24,1296.691,34.679
2006-01-25,59.057,53.69
2006-01-26,252.019,26.678
2006-01-27,254.621,206.496
2006-01-30,92.332,113.008
2006-01-31,119.238,64.335
2006-02-01,136.816,115.772
2006-02-02,92.966,65.958
2006-02-03,99.19,112.57
2006-02-06,118.23,173.028
2006-02-07,88.329,44.383
2006-02-08,54.78,47.134
2006-02-09,61.162,61.084
2006-02-10,44.891,59.739
2006-02-13,77.081,52.619
2006-02-14,62.807,63.243
2006-02-15,66.182,68.33
2006-02-16,66.757,42.499
2006-02-17,74.892,35.471
2006-02-20,90.512,37.695
2006-02-21,73.882,46.074
2006-02-22,93.818,45.145
2006-02-23,91.975,47.374
2006-02-24,84.027,59.883
2006-03-01,72.247,102.343
2006-03-02,66.454,22.276
2006-03-03,64.05,22.564
2006-03-06,71.616,25.77
2006-03-07,73.762,29.824
2006-03-08,75.546,53.57
2006-03-09,64.411,37.847
2006-03-10,75.692,39.169
2006-03-13,61.456,44.064
2006-03-14,54.218,24.233
2006-03-15,56.128,37.177
2006-03-16,50.396,22.759
2006-03-17,45.357,48.769
2006-03-20,51.965,27.011
2006-03-21,49.242,44.14
2006-03-22,39.114,38.926
2006-03-23,53.444,57.569
2006-03-24,58.794,36.297
2006-03-27,37.662,23.317
2006-03-28,66.998,114.462
2006-03-29,38.51,51.768
2006-03-30,30.613,24.918
2006-03-31,58.261,66.406
2006-04-03,43.561,29.252
2006-04-04,61.28,48.799
